,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,buyerAgent,buyerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
69,15571790,"934 Lakeview Way, Emerald Hills, CA 94062",94062,37.459987,-122.26202,5,4.0,3478,2019-10-10 00:00:00,1995,7000.0,2219497.0,2310000.0,Amy Anderson-Giugliano,https://www.zillow.com/profile/YourRealtorAmy/,maureen Diane mclean,https://www.zillow.com/profile/maureenmclea/,2019-07-24 21:24:00,2495000.0,1,2675127.0,2019-06-30,https://www.zillow.com/homedetails/934-Lakeview-Way-Emerald-Hills-CA-94062/15571790_zpid/
70,15559926,"105 Scenic Dr, Redwood City, CA 94062",94062,37.479804,-122.260109,4,4.0,2660,2019-10-04 00:00:00,1931,14000.0,2643072.0,2750000.0,DeLeon Team,https://www.zillow.com/profile/DeLeon-Realty/,,,2019-07-15 09:25:00,2988000.0,1,2424578.0,2019-06-30,https://www.zillow.com/homedetails/105-Scenic-Dr-Redwood-City-CA-94062/15559926_zpid/
71,15571635,"3731 Hamilton Way, Emerald Hills, CA 94062",94062,37.46343,-122.258579,3,4.0,3680,2019-09-30 00:00:00,1980,7309.0,2028480.0,2110000.0,Alex Lehr,https://www.zillow.com/profile/Alex-Lehr/,,,2019-07-11 13:45:00,2199000.0,1,2619344.0,2019-06-30,https://www.zillow.com/homedetails/3731-Hamilton-Way-Emerald-Hills-CA-94062/15571635_zpid/
72,15589942,"782 Glenmere Way, Emerald Hills, CA 94062",94062,37.459971,-122.269035,4,4.0,2930,2019-09-27 00:00:00,1992,6198.0,2139707.0,2225000.0,,,,,2019-04-26 16:19:00,2498000.0,1,2212805.0,2019-03-31,https://www.zillow.com/homedetails/782-Glenmere-Way-Emerald-Hills-CA-94062/15589942_zpid/
73,15571805,"985 Lakeview Way, Emerald Hills, CA 94062",94062,37.459159,-122.260657,3,3.0,2830,2019-09-25 00:00:00,1956,41922.0,3318441.0,3450000.0,,,Michael Robles,https://www.zillow.com/profile/Michael-Robles/,2019-07-12 08:15:00,3700000.0,1,2641652.0,2019-06-30,https://www.zillow.com/homedetails/985-Lakeview-Way-Emerald-Hills-CA-94062/15571805_zpid/
74,15563699,"116 Iris St, Redwood City, CA 94062",94062,37.482669,-122.244882,5,4.0,3310,2019-09-19 00:00:00,1924,6759.0,2598670.0,2700000.0,Drew and Christine Morgan,https://www.zillow.com/profile/BelmontRealEstate/,Jennifer Chen,https://www.zillow.com/profile/Jennifer-Chen-Redfin/,2019-08-16 11:49:00,2498000.0,1,2872783.0,2019-07-31,https://www.zillow.com/homedetails/116-Iris-St-Redwood-City-CA-94062/15563699_zpid/
75,15574574,"823 Upland Rd, Redwood City, CA 94062",94062,37.470765,-122.255411,4,4.0,3400,2019-09-18 00:00:00,1956,14448.0,1925141.0,2000000.0,,,,,2019-07-25 20:28:00,2200000.0,1,2591425.0,2019-06-30,https://www.zillow.com/homedetails/823-Upland-Rd-Redwood-City-CA-94062/15574574_zpid/
76,15571532,"707 Vista Dr, Emerald Hills, CA 94062",94062,37.466275,-122.258699,3,3.0,2890,2019-09-10 15:00:00,1997,26689.0,2630948.0,2450000.0,David Young,https://www.zillow.com/profile/David-Young/,Kalina Wasman,https://www.zillow.com/profile/kalinawasman/,2019-08-17 07:51:00,2250000.0,1,2348792.0,2019-07-31,https://www.zillow.com/homedetails/707-Vista-Dr-Emerald-Hills-CA-94062/15571532_zpid/
77,15572906,"1203 Edgewood Rd, Redwood City, CA 94062",94062,37.482579,-122.255742,5,4.0,3500,2019-09-06 15:00:00,1988,14000.0,2023934.0,2100000.0,Alexandra Roces,https://www.zillow.com/profile/AlexRoces/,Juliana Lee MBA LLB,https://www.zillow.com/profile/Juliana-Lee-MBA-LLB/,2019-07-09 16:58:00,2400000.0,1,2717779.0,2019-06-30,https://www.zillow.com/homedetails/1203-Edgewood-Rd-Redwood-City-CA-94062/15572906_zpid/
78,2082824737,"4036 Jefferson, Redwood City, CA 94062",94062,37.458855,-122.265266,4,4.0,1983,2019-09-06 15:00:00,-1,-1.0,2414264.0,2505000.0,,,Danny Burgess,https://www.zillow.com/profile/Doors-Advisors/,,,0,2294529.0,2019-08-31,https://www.zillow.com/homedetails/4036-Jefferson-Redwood-City-CA-94062/2082824737_zpid/
79,15571271,"606 Park Rd, Emerald Hills, CA 94062",94062,37.466469,-122.267096,4,2.5,2660,2019-08-28 15:00:00,1987,6599.0,1929589.0,2000000.0,Lucy Goldenshteyn,https://www.zillow.com/profile/Lucy-Gold/,Tiger Teerlink Team,https://www.zillow.com/profile/TigerCindyTeerlink/,2019-06-06 11:59:00,1998000.0,1,2251261.0,2019-05-31,https://www.zillow.com/homedetails/606-Park-Rd-Emerald-Hills-CA-94062/15571271_zpid/
80,15562627,"174 Fleetwood Dr, San Carlos, CA 94070",94070,37.475118,-122.27804,4,3.0,2650,2019-08-23 00:00:00,1983,10001.0,2464625.0,2285000.0,Lou Carlos,https://www.zillow.com/profile/Lou-Carlos/,Mandana Simai,https://www.zillow.com/profile/Mandana-Simai/,2019-07-03 10:28:00,2388000.0,1,2392409.0,2019-06-30,https://www.zillow.com/homedetails/174-Fleetwood-Dr-San-Carlos-CA-94070/15562627_zpid/
