,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
700,15564646,"526 Grand St, Redwood City, CA 94062",94062,37.478547,-122.236609,3.0,3.0,2200.0,2018-09-10 00:00:00,1936,6499.0,1874942.0,1950000.0,Jaime Lynn Jones and Julie Mariani Cassel,https://www.zillow.com/profile/Jaime-and-Julie/,2018-08-17 22:36:00,1798000.0,1,1969333.0,2018-07-31,https://www.zillow.com/homedetails/526-Grand-St-Redwood-City-CA-94062/15564646_zpid/
701,15574775,"511 Oak Ridge Dr, Redwood City, CA 94062",94062,37.469895,-122.250611,3.0,2.0,1310.0,2018-09-07 15:00:00,1948,7501.0,1532918.0,1595000.0,Bernard Accristo,https://www.zillow.com/profile/baccristo/,2018-08-09 09:02:00,1458000.0,1,1645432.0,2018-07-31,https://www.zillow.com/homedetails/511-Oak-Ridge-Dr-Redwood-City-CA-94062/15574775_zpid/
702,15575340,"3025 Hastings Ave, Redwood City, CA 94061",94061,37.461118,-122.247858,4.0,2.0,1790.0,2018-09-07 00:00:00,1953,6006.0,1671313.0,1739000.0,,,2018-08-02 21:13:00,1599000.0,1,1790947.0,2018-07-31,https://www.zillow.com/homedetails/3025-Hastings-Ave-Redwood-City-CA-94061/15575340_zpid/
703,89237519,"425 W Maple Way, Woodside, CA 94062",94062,37.45555,-122.279658,1.0,1.0,850.0,2018-09-05 00:00:00,1947,44605.0,972799.0,1012500.0,,,,,0,1608537.0,2018-08-31,https://www.zillow.com/homedetails/425-W-Maple-Way-Woodside-CA-94062/89237519_zpid/
704,15574426,"340 Alameda De Las Pulgas, Redwood City, CA 94062",94062,37.473826,-122.25144,3.0,2.0,1620.0,2018-09-04 08:00:00,1953,12240.0,1764396.0,1500000.0,Brian Dakin,https://www.zillow.com/profile/briandakin/,2018-07-24 13:33:00,1398900.0,1,1850659.0,2018-06-30,https://www.zillow.com/homedetails/340-Alameda-De-Las-Pulgas-Redwood-City-CA-94062/15574426_zpid/
705,15589879,"517 Sunset Way, Emerald Hills, CA 94062",94062,37.461582,-122.273611,4.0,3.0,2600.0,2018-09-04 00:00:00,1969,6799.0,2013885.0,2100000.0,Sam Anagnostou,https://www.zillow.com/profile/Sam-Anagnostou/,2018-04-27 11:52:00,2295000.0,1,2280313.0,2018-03-31,https://www.zillow.com/homedetails/517-Sunset-Way-Emerald-Hills-CA-94062/15589879_zpid/
706,15573567,"543 Ruby St, Redwood City, CA 94062",94062,37.472267,-122.244204,3.0,1.0,1070.0,2018-09-04 00:00:00,1948,4791.0,1356402.0,432000.0,,,,,0,1432632.0,2018-08-31,https://www.zillow.com/homedetails/543-Ruby-St-Redwood-City-CA-94062/15573567_zpid/
707,15573051,"194 Hillview Ave, Redwood City, CA 94062",94062,37.47688,-122.250006,4.0,4.0,2310.0,2018-09-01 15:00:00,1938,13599.0,2400281.0,2500000.0,DiPali Shah,https://www.zillow.com/profile/DiPalIShahBroker/,2018-06-07 20:02:00,2195000.0,2,2707177.0,2018-05-31,https://www.zillow.com/homedetails/194-Hillview-Ave-Redwood-City-CA-94062/15573051_zpid/
708,15591711,"2868 Carolina Ave, Redwood City, CA 94061",94061,37.450397,-122.232653,5.0,3.0,1960.0,2018-08-31 15:00:00,1950,7139.0,1900820.0,1980000.0,Violaine Mraihi,https://www.zillow.com/profile/violaine/,2018-08-03 08:05:00,1875000.0,1,2111096.0,2018-07-31,https://www.zillow.com/homedetails/2868-Carolina-Ave-Redwood-City-CA-94061/15591711_zpid/
709,15572976,"33 Circle Rd, Redwood City, CA 94062",94062,37.47944,-122.252381,3.0,2.0,1600.0,2018-08-31 00:00:00,1953,11160.0,1896222.0,1975000.0,,,,,0,1971038.0,2018-07-31,https://www.zillow.com/homedetails/33-Circle-Rd-Redwood-City-CA-94062/15572976_zpid/
