,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
123,15574380,"2832 Brewster Ave, Redwood City, CA 94062",94062,37.474803,-122.252062,5.0,3.0,2360.0,2019-06-03 00:00:00,1971,9500.0,1983879.0,2025000.0,Tom Huff,https://www.zillow.com/profile/Tom-Huff/,2018-10-11 15:23:00,1949000.0,1,2193659.0,2018-09-30,https://www.zillow.com/homedetails/2832-Brewster-Ave-Redwood-City-CA-94062/15574380_zpid/
124,15589565,"655 Hillcrest Way, Redwood City, CA 94062",94062,37.463293,-122.269555,4.0,2.0,2800.0,2019-05-30 00:00:00,1948,43000.0,2814779.0,2000000.0,,,2019-02-23 19:54:00,2500000.0,1,2309028.0,2019-01-31,https://www.zillow.com/homedetails/655-Hillcrest-Way-Redwood-City-CA-94062/15589565_zpid/
125,181456753,"655 Hillcrest Way, Redwood City, CA 94062",94062,37.463293,-122.269555,,,,2019-05-30 00:00:00,-1,8799.0,,2000000.0,,,,,0,,,https://www.zillow.com/homedetails/655-Hillcrest-Way-Redwood-City-CA-94062/181456753_zpid/
126,15563663,"35 Jeter St, Redwood City, CA 94062",94062,37.483744,-122.246863,3.0,3.0,2711.0,2019-05-29 08:00:00,1992,9099.0,2594395.0,2288000.0,Douglas Andrew Gonzalez,https://www.zillow.com/profile/dgonzalez/,2019-04-01 10:19:00,1998000.0,1,2369210.0,2019-03-31,https://www.zillow.com/homedetails/35-Jeter-St-Redwood-City-CA-94062/15563663_zpid/
127,15563627,"35 Hudson St, Redwood City, CA 94062",94062,37.484982,-122.245296,5.0,3.0,3690.0,2019-05-24 08:00:00,1907,9099.0,2608277.0,3100000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2019-01-31 15:28:00,3195000.0,2,2796817.0,2019-01-31,https://www.zillow.com/homedetails/35-Hudson-St-Redwood-City-CA-94062/15563627_zpid/
128,15575327,"1169 Fernside St, Redwood City, CA 94061",94061,37.46094,-122.246476,4.0,2.0,1810.0,2019-05-24 00:00:00,1953,7187.0,1986653.0,2025000.0,,,2019-05-03 16:04:00,1695000.0,1,1737454.0,2019-04-30,https://www.zillow.com/homedetails/1169-Fernside-St-Redwood-City-CA-94061/15575327_zpid/
129,15590068,"3973 Jefferson Ave, Emerald Hills, CA 94062",94062,37.458853,-122.262666,4.0,4.0,3080.0,2019-05-24 00:00:00,1987,8250.0,2397776.0,2445000.0,Margot Lockwood,https://www.zillow.com/profile/Margot72/,2019-04-22 07:30:00,2395000.0,1,2283263.0,2019-03-31,https://www.zillow.com/homedetails/3973-Jefferson-Ave-Emerald-Hills-CA-94062/15590068_zpid/
130,15590593,"23 Alverno Ct, Redwood City, CA 94061",94061,37.453247,-122.262707,2.0,3.0,2800.0,2019-05-21 00:00:00,1983,4909.0,2067882.0,2108000.0,,,2019-04-21 21:41:00,1995000.0,1,1989562.0,2019-03-31,https://www.zillow.com/homedetails/23-Alverno-Ct-Redwood-City-CA-94061/15590593_zpid/
131,15571698,"845 Mohican Way, Redwood City, CA 94062",94062,37.461326,-122.260001,4.0,3.0,2590.0,2019-05-20 00:00:00,1966,7348.0,2011179.0,2050000.0,,,,,0,2106964.0,2019-04-30,https://www.zillow.com/homedetails/845-Mohican-Way-Redwood-City-CA-94062/15571698_zpid/
132,15570946,"20 W Summit Dr, Emerald Hills, CA 94062",94062,37.470196,-122.268956,4.0,3.0,1740.0,2019-05-17 00:00:00,1948,9382.0,2109894.0,2150000.0,Violaine Mraihi,https://www.zillow.com/profile/violaine/,2019-04-12 08:19:00,2025000.0,1,2091485.0,2019-03-31,https://www.zillow.com/homedetails/20-W-Summit-Dr-Emerald-Hills-CA-94062/15570946_zpid/
133,125809099,"27 Alverno Ct, Redwood City, CA 94061",94061,37.453626,-122.262766,2.0,3.0,2400.0,2019-05-17 00:00:00,1983,4152.0,1962692.0,2000000.0,,,2019-04-22 07:43:00,1898000.0,1,1984708.0,2019-03-31,https://www.zillow.com/homedetails/27-Alverno-Ct-Redwood-City-CA-94061/125809099_zpid/
134,15589643,"744 Lakeview Way, Redwood City, CA 94062",94062,37.464333,-122.266838,4.0,3.5,3000.0,2019-05-16 08:00:00,1995,12197.0,2477899.0,2525000.0,Brian Dakin,https://www.zillow.com/profile/briandakin/,2019-04-12 15:28:00,2550000.0,1,2601442.0,2019-03-31,https://www.zillow.com/homedetails/744-Lakeview-Way-Redwood-City-CA-94062/15589643_zpid/
135,15574592,"759 Upland Rd, Redwood City, CA 94062",94062,37.470756,-122.253521,4.0,4.0,2790.0,2019-05-16 00:00:00,1960,14300.0,2379992.0,2425000.0,Valerie Soltau,https://www.zillow.com/profile/valeriesoltau/,2019-03-18 06:55:00,2550000.0,1,2637746.0,2019-02-28,https://www.zillow.com/homedetails/759-Upland-Rd-Redwood-City-CA-94062/15574592_zpid/
136,15563618,"64 Grand St, Redwood City, CA 94062",94062,37.484691,-122.244301,4.0,4.0,2377.0,2019-05-15 00:00:00,1922,9100.0,2450434.0,2050000.0,,,2019-04-18 22:29:00,1700000.0,1,2085547.0,2019-03-31,https://www.zillow.com/homedetails/64-Grand-St-Redwood-City-CA-94062/15563618_zpid/
137,15564913,"1042 Madison Ave, Redwood City, CA 94061",94061,37.47502,-122.237559,4.0,2.5,1650.0,2019-05-13 15:00:00,1937,9931.0,1104439.0,2250000.0,,,,,0,1777121.0,2019-04-30,https://www.zillow.com/homedetails/1042-Madison-Ave-Redwood-City-CA-94061/15564913_zpid/
138,15559399,"35 Granite Ct, San Carlos, CA 94070",94070,37.485039,-122.269113,5.0,4.0,3500.0,2019-05-12 15:00:00,1960,8437.0,2140981.0,2180000.0,Sophie Ravel,https://www.zillow.com/profile/Sophie-Ravel/,2019-03-22 10:05:00,2298000.0,1,2382725.0,2019-02-28,https://www.zillow.com/homedetails/35-Granite-Ct-San-Carlos-CA-94070/15559399_zpid/
139,15591192,"2063 Washington Ave, Redwood City, CA 94061",94061,37.461092,-122.234472,3.0,2.0,1800.0,2019-05-06 00:00:00,1951,6499.0,1964769.0,2000000.0,Team Bedbury,https://www.zillow.com/profile/Bedbury-Group/,2019-04-22 10:22:00,1848000.0,1,1895561.0,2019-03-31,https://www.zillow.com/homedetails/2063-Washington-Ave-Redwood-City-CA-94061/15591192_zpid/
