,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,buyerAgent,buyerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
0,15573428,"1426 James Ave, Redwood City, CA 94062",94062,37.476478,-122.244118,4.0,2.0,2020.0,2020-08-26 00:00:00,1936,5900.0,1998053.0,1998000.0,,,Catherine Hendricks,https://www.zillow.com/profile/TheFrenchrealtor/,2020-07-10 10:57:00,1998000.0,1,1297518.0,2020-06-30,https://www.zillow.com/homedetails/1426-James-Ave-Redwood-City-CA-94062/15573428_zpid/
1,15573882,"1901 Vera Ave, Redwood City, CA 94061",94061,37.468688,-122.242098,2.0,1.0,1090.0,2020-08-26 00:00:00,1950,6390.0,1376036.0,1376000.0,,,,,2020-07-30 16:09:00,1320000.0,1,1295281.0,2020-06-30,https://www.zillow.com/homedetails/1901-Vera-Ave-Redwood-City-CA-94061/15573882_zpid/
2,15573686,"18 Eagle Hill Ter, Redwood City, CA 94062",94062,37.474944,-122.242416,3.0,3.0,1490.0,2020-08-25 08:00:00,1949,8000.0,1860049.0,1860000.0,,,Wendi Selig-Aimonetti,https://www.zillow.com/profile/wendi596/,2020-07-26 09:54:00,1595000.0,1,1592481.0,2020-06-30,https://www.zillow.com/homedetails/18-Eagle-Hill-Ter-Redwood-City-CA-94062/15573686_zpid/
3,15573591,"401 Quartz St, Redwood City, CA 94062",94062,37.474868,-122.243548,4.0,3.0,2348.0,2020-08-24 15:00:00,1936,7975.0,2300092.0,2300000.0,,,Alison Williams,https://www.zillow.com/profile/awilliamsrwc/,2020-06-15 10:43:00,2488000.0,1,2222403.0,2020-05-31,https://www.zillow.com/homedetails/401-Quartz-St-Redwood-City-CA-94062/15573591_zpid/
4,15572485,"923 Glennan Dr, Redwood City, CA 94061",94061,37.459523,-122.252256,3.0,3.0,2252.0,2020-08-24 15:00:00,2016,6629.0,2455098.0,2455000.0,,,Carol Reen,https://www.zillow.com/profile/carolreensf/,2020-07-09 10:31:00,2450000.0,1,2106123.0,2020-06-30,https://www.zillow.com/homedetails/923-Glennan-Dr-Redwood-City-CA-94061/15572485_zpid/
5,15574626,"431 Upton St, Redwood City, CA 94062",94062,37.472266,-122.248416,2.0,2.0,920.0,2020-08-24 00:00:00,1994,2748.0,1120044.0,1120000.0,,,,,2020-07-10 19:58:00,1148000.0,1,1073795.0,2020-06-30,https://www.zillow.com/homedetails/431-Upton-St-Redwood-City-CA-94062/15574626_zpid/
6,15572288,"3752 Bret Harte Dr, Redwood City, CA 94061",94061,37.458945,-122.25478,3.0,3.0,1700.0,2020-08-24 00:00:00,1956,7927.0,2050082.0,2050000.0,,,Bobby Ohadi,https://www.zillow.com/profile/BobbyOhadi/,,,0,1815338.0,2020-07-31,https://www.zillow.com/homedetails/3752-Bret-Harte-Dr-Redwood-City-CA-94061/15572288_zpid/
7,15572239,"3714 Red Oak Way, Redwood City, CA 94061",94061,37.460051,-122.254711,3.0,3.0,1510.0,2020-08-21 15:00:00,1956,7701.0,1980118.0,1980000.0,,,Lynn Carteris,https://www.zillow.com/profile/LynnCarteris/,2020-07-14 08:12:00,1899000.0,1,1727628.0,2020-06-30,https://www.zillow.com/homedetails/3714-Red-Oak-Way-Redwood-City-CA-94061/15572239_zpid/
8,15573457,"438 Avenue Del Ora, Redwood City, CA 94062",94062,37.475546,-122.243195,2.0,2.0,1330.0,2020-08-21 00:00:00,1931,6799.0,1255075.0,1255075.0,Alex Lehr,https://www.zillow.com/profile/Alex-Lehr/,,,2020-01-27 10:53:00,1395000.0,2,1519850.0,2019-12-31,https://www.zillow.com/homedetails/438-Avenue-Del-Ora-Redwood-City-CA-94062/15573457_zpid/
9,15572234,"602 Glennan Dr, Redwood City, CA 94061",94061,37.460832,-122.254958,3.0,3.0,1770.0,2020-08-21 00:00:00,1956,8363.0,1950117.0,1950000.0,,,,,2020-07-16 11:04:00,1850000.0,1,1850325.0,2020-06-30,https://www.zillow.com/homedetails/602-Glennan-Dr-Redwood-City-CA-94061/15572234_zpid/
10,15573768,"632 Ruby St, Redwood City, CA 94061",94061,37.470606,-122.242899,3.0,1.0,1170.0,2020-08-21 00:00:00,1950,5222.0,1375793.0,1375711.0,,,Peter Hopelain,https://www.zillow.com/profile/Peterhopelain/,2020-07-08 10:16:00,1246875.0,1,1409046.0,2020-06-30,https://www.zillow.com/homedetails/632-Ruby-St-Redwood-City-CA-94061/15573768_zpid/
11,15572627,"956 Edgecliff Way, Redwood City, CA 94061",94061,37.455032,-122.257901,4.0,3.0,2494.0,2020-08-20 00:00:00,1959,7736.0,2237649.0,2237500.0,,,,,2020-05-29 12:28:00,2450000.0,1,2272019.0,2020-04-30,https://www.zillow.com/homedetails/956-Edgecliff-Way-Redwood-City-CA-94061/15572627_zpid/
12,15573872,"608 Myrtle St, Redwood City, CA 94061",94061,37.474433,-122.239119,3.0,2.5,1750.0,2020-08-20 00:00:00,1952,5662.0,1500100.0,1500000.0,Bob Bredel,https://www.zillow.com/profile/Bob-Bredel/,Reali Team,https://www.zillow.com/profile/RealiTeam/,2020-07-09 20:08:00,1598000.0,1,1671723.0,2020-06-30,https://www.zillow.com/homedetails/608-Myrtle-St-Redwood-City-CA-94061/15573872_zpid/
13,15574801,"554 Lancaster Way, Redwood City, CA 94062",94062,37.469969,-122.249037,3.0,2.0,1750.0,2020-08-19 00:00:00,1947,9578.0,1851135.0,1851000.0,Maxine Dumas,https://www.zillow.com/profile/maxine_dumas/,Kevin Ames,https://www.zillow.com/profile/ames-kevint/,2020-07-17 10:05:00,1749950.0,1,1789074.0,2020-06-30,https://www.zillow.com/homedetails/554-Lancaster-Way-Redwood-City-CA-94062/15574801_zpid/
14,15591052,"1616 Maryland St, Redwood City, CA 94061",94061,37.455937,-122.23885,3.0,2.0,1960.0,2020-08-19 00:00:00,1951,6216.0,1900139.0,1900000.0,Kim Copher,https://www.zillow.com/profile/Kim-Copher/,,,2020-07-10 13:25:00,1798000.0,1,2002271.0,2020-06-30,https://www.zillow.com/homedetails/1616-Maryland-St-Redwood-City-CA-94061/15591052_zpid/
15,15570752,"171 Lakeview Way, Emerald Hills, CA 94062",94062,37.473324,-122.275969,3.0,3.0,1675.0,2020-08-17 15:00:00,1928,8066.0,1785154.0,1785000.0,,,Hans Vilaivan,https://www.zillow.com/profile/Hans-Vilaivan/,2020-07-10 00:17:00,1695000.0,1,1713240.0,2020-06-30,https://www.zillow.com/homedetails/171-Lakeview-Way-Emerald-Hills-CA-94062/15570752_zpid/
16,15574027,"1106 Junipero Ave, Redwood City, CA 94061",94061,37.468158,-122.238953,3.0,2.0,1550.0,2020-08-14 00:00:00,1946,5144.0,1589168.0,1589000.0,Vicky Costantini,https://www.zillow.com/profile/vcostantini/,Lana Morin Pierce,https://www.zillow.com/profile/LanaMorinPierce/,2020-05-09 08:49:00,1620000.0,1,1653479.0,2020-04-30,https://www.zillow.com/homedetails/1106-Junipero-Ave-Redwood-City-CA-94061/15574027_zpid/
